ubicacion,categoria,texto_actual,texto_propuesto
"index.html (L54)","etiqueta/HTML","IOC · UACh",""
"index.html (L62)","etiqueta/HTML","Nuevo Ctrl+N",""
"index.html (L63)","etiqueta/HTML","Abrir… Ctrl+O",""
"index.html (L64)","etiqueta/HTML","Guardar Ctrl+S",""
"index.html (L65)","etiqueta/HTML","Guardar Como…",""
"index.html (L66)","etiqueta/HTML","🧹 Autoguardados temporales…",""
"index.html (L68)","etiqueta/HTML","Importar CSV…",""
"index.html (L69)","etiqueta/HTML","Exportar CSV",""
"index.html (L70)","etiqueta/HTML","Descargar Plantilla CSV",""
"index.html (L72)","etiqueta/HTML","Exportar Resultados Estáticos",""
"index.html (L73)","etiqueta/HTML","Exportar Resultados Modales",""
"index.html (L74)","etiqueta/HTML","Exportar Resultados Espectrales",""
"index.html (L76)","etiqueta/HTML","📄 Memoria / Bases de Cálculo (PDF)…",""
"index.html (L77)","etiqueta/HTML","📝 Memoria de Cálculo (Word .docx)…",""
"index.html (L84)","etiqueta/HTML","Deshacer Ctrl+Z",""
"index.html (L85)","etiqueta/HTML","Rehacer Ctrl+Y",""
"index.html (L87)","etiqueta/HTML","Selec. Todo Ctrl+A",""
"index.html (L88)","etiqueta/HTML","Eliminar Del",""
"index.html (L90)","etiqueta/HTML","Discretizar Todo…",""
"index.html (L91)","etiqueta/HTML","Unir Elementos Seleccionados",""
"index.html (L92)","etiqueta/HTML","Unir en Intersección (crear nodo)…",""
"index.html (L93)","etiqueta/HTML","Crear elemento de área (membrana 3/4 nodos)…",""
"index.html (L94)","etiqueta/HTML","Mallar panel (4 esquinas) — clic en nodos…",""
"index.html (L95)","etiqueta/HTML","Mallar región libre — clic en nodos…",""
"index.html (L96)","etiqueta/HTML","Suavizar malla (calidad)…",""
"index.html (L97)","etiqueta/HTML","Crear link / coupling (2 nodos)…",""
"index.html (L99)","etiqueta/HTML","Definir Ejes de Grilla…",""
"index.html (L100)","etiqueta/HTML","Combinaciones de Carga… F8",""
"index.html (L101)","etiqueta/HTML","Crear casos y combos de norma (NCh3171)…",""
"index.html (L108)","etiqueta/HTML","Isométrica I",""
"index.html (L109)","etiqueta/HTML","Planta XY T",""
"index.html (L110)","etiqueta/HTML","Frente XZ F",""
"index.html (L111)","etiqueta/HTML","Lateral YZ L",""
"index.html (L113)","etiqueta/HTML","Grilla G",""
"index.html (L114)","etiqueta/HTML","Ejes XYZ",""
"index.html (L115)","etiqueta/HTML","Zoom Extensión Home",""
"index.html (L117)","etiqueta/HTML","Ocultar selección H",""
"index.html (L118)","etiqueta/HTML","Mostrar todo Shift+H",""
"index.html (L119)","etiqueta/HTML","Mostrar/ocultar cargas",""
"index.html (L121)","etiqueta/HTML","Resultado: Deformada 1",""
"index.html (L122)","etiqueta/HTML","Resultado: Axial N 2",""
"index.html (L123)","etiqueta/HTML","Resultado: Cortante Vy 3",""
"index.html (L124)","etiqueta/HTML","Resultado: Cortante Vz 4",""
"index.html (L125)","etiqueta/HTML","Resultado: Torsión T 5",""
"index.html (L126)","etiqueta/HTML","Resultado: Momento My 6",""
"index.html (L127)","etiqueta/HTML","Resultado: Momento Mz 7",""
"index.html (L128)","etiqueta/HTML","Resultado: Tensiones áreas (von Mises) 8",""
"index.html (L135)","etiqueta/HTML","▶ Análisis Estático F5",""
"index.html (L136)","etiqueta/HTML","↻ Recalcular (forzar, ignora resultados guardados)",""
"index.html (L139)","etiqueta/HTML","Análisis lineales",""
"index.html (L141)","etiqueta/HTML","▶ Estático — todos los casos y combos F5",""
"index.html (L142)","etiqueta/HTML","▶ Modal… F6",""
"index.html (L143)","etiqueta/HTML","▶ Espectro de Respuesta… F7",""
"index.html (L144)","etiqueta/HTML","▶ Time-history modal — acelerograma…",""
"index.html (L148)","etiqueta/HTML","Análisis NL-lite",""
"index.html (L150)","etiqueta/HTML","▶ No Lineal — cables…",""
"index.html (L151)","etiqueta/HTML","▶ P-Delta…",""
"index.html (L152)","etiqueta/HTML","▶ Pandeo Lineal — factor crítico…",""
"index.html (L153)","etiqueta/HTML","▶ Form-finding — densidades de fuerza…",""
"index.html (L154)","etiqueta/HTML","▶ Rótulas Plásticas — colapso…",""
"index.html (L155)","etiqueta/HTML","▶ Pushover — control de desplazamiento…",""
"index.html (L156)","etiqueta/HTML","▶ Time-history NO LINEAL — rótulas (edificio de corte)…",""
"index.html (L162)","etiqueta/HTML","▶ Etapas constructivas — staged…",""
"index.html (L163)","etiqueta/HTML","▶ Pretensado por tendón — cargas equivalentes…",""
"index.html (L164)","etiqueta/HTML","▶ Cargas móviles / líneas de influencia…",""
"index.html (L168)","etiqueta/HTML","Ver Matrices Globales K · M…",""
"index.html (L169)","etiqueta/HTML","Diagnosticar estabilidad (nodos sueltos)…",""
"index.html (L171)","etiqueta/HTML","✕ Limpiar Resultados (descartar)",""
"index.html (L171)","tooltip","DESCARTA todos los resultados calculados (estático, modal, espectro, NL, diseño) y revierte la malla auto-discretizada. Pide confirmación. Para sólo volver a ver el modelo sin borrar nada, usa «Vista modelo» en la barra.",""
"index.html (L178)","etiqueta/HTML","Generar modelo desde ficha…",""
"index.html (L185)","etiqueta/HTML","Guía Rápida F1",""
"index.html (L186)","etiqueta/HTML","Convenciones de Signos y Ejes",""
"index.html (L187)","etiqueta/HTML","Ejemplos Guiados",""
"index.html (L189)","etiqueta/HTML","Acerca de PÓRTICO",""
"index.html (L196)","tooltip","Modo profesional activo",""
"index.html (L197)","tooltip","Configuración (memoria, visualización, modificadores de sección)",""
"index.html (L199)","tooltip","Cambiar tema claro/oscuro",""
"index.html (L204)","tooltip","Sistema de unidades fijo: kN, m, ton, rad. Todo el cálculo se hace en estas unidades.",""
"index.html (L205)","etiqueta/HTML","kN – m",""
"index.html (L206)","etiqueta/HTML","ton – m (no disponible)",""
"index.html (L207)","etiqueta/HTML","kip – ft (no disponible)",""
"index.html (L217)","tooltip","Seleccionar S",""
"index.html (L221)","tooltip","Mover vista — PAN (arrastrar con la izquierda)",""
"index.html (L227)","tooltip","Agregar Nodo N",""
"index.html (L237)","tooltip","Agregar Elemento E",""
"index.html (L245)","tooltip","Agregar Área (membrana/placa/shell): clic en 3–4 nodos, Enter para crear",""
